model,model_label,scenario,method,method_label,status,success,goal_reached_once,path_length,time_to_goal_steps,time_to_goal_seconds,final_goal_distance,min_clearance,collision,safety_violation,path_efficiency
dynamic_double_integrator_2d,2D double integrator,head_on_circle,apf,APF,completed,0.000,0.000,91.441,inf,inf,93.323,0.838,0.000,0.000,0.889
dynamic_double_integrator_2d,2D double integrator,head_on_circle,haddadin,Haddadin,completed,0.000,0.000,5.541,inf,inf,6.459,-0.001,1.000,1.000,1.000
dynamic_double_integrator_2d,2D double integrator,head_on_circle,paper_geometric,MFI-Geometric,completed,1.000,1.000,16.587,840.0,16.80,0.009,0.483,0.000,0.000,0.723
dynamic_double_integrator_2d,2D double integrator,head_on_circle,paper_pd,MFI-PD,completed,1.000,1.000,15.359,1216.0,24.32,0.151,0.557,0.000,0.000,0.772
dynamic_double_integrator_2d,2D double integrator,head_on_circle,sabattini,Sabattini,completed,0.000,0.000,5.541,inf,inf,6.459,-0.001,1.000,1.000,1.000
dynamic_double_integrator_2d,2D double integrator,mixed_static_dynamic_field,apf,APF,completed,0.000,0.000,22.556,inf,inf,0.734,1.047,0.000,0.000,0.695
dynamic_double_integrator_2d,2D double integrator,mixed_static_dynamic_field,haddadin,Haddadin,completed,0.000,0.000,8.246,inf,inf,7.722,-0.025,1.000,1.000,0.966
dynamic_double_integrator_2d,2D double integrator,mixed_static_dynamic_field,paper_geometric,MFI-Geometric,completed,0.000,0.000,22.698,inf,inf,0.693,1.130,0.000,0.000,0.688
dynamic_double_integrator_2d,2D double integrator,mixed_static_dynamic_field,paper_pd,MFI-PD,completed,0.000,0.000,24.965,inf,inf,4.553,0.299,0.000,0.000,0.421
dynamic_double_integrator_2d,2D double integrator,mixed_static_dynamic_field,sabattini,Sabattini,completed,0.000,0.000,6.654,inf,inf,8.354,-0.010,1.000,1.000,1.000
dynamic_double_integrator_2d,2D double integrator,moving_circle_crossing,apf,APF,completed,1.000,1.000,14.915,1157.0,23.14,0.151,1.058,0.000,0.000,0.795
dynamic_double_integrator_2d,2D double integrator,moving_circle_crossing,haddadin,Haddadin,completed,0.000,0.000,7.650,inf,inf,5.577,-0.025,1.000,1.000,0.908
dynamic_double_integrator_2d,2D double integrator,moving_circle_crossing,paper_geometric,MFI-Geometric,completed,1.000,1.000,14.177,869.0,17.38,0.034,2.646,0.000,0.000,0.844
dynamic_double_integrator_2d,2D double integrator,moving_circle_crossing,paper_pd,MFI-PD,completed,1.000,1.000,14.442,1350.0,27.00,0.151,1.079,0.000,0.000,0.821
dynamic_double_integrator_2d,2D double integrator,moving_circle_crossing,sabattini,Sabattini,completed,0.000,0.000,4.958,inf,inf,7.042,-0.008,1.000,1.000,1.000
dynamic_double_integrator_2d,2D double integrator,moving_convex_sweeper,apf,APF,completed,1.000,1.000,16.959,1335.0,26.70,0.151,1.046,0.000,0.000,0.763
dynamic_double_integrator_2d,2D double integrator,moving_convex_sweeper,haddadin,Haddadin,completed,1.000,1.000,18.028,1528.0,30.56,0.151,0.564,0.000,0.000,0.724
dynamic_double_integrator_2d,2D double integrator,moving_convex_sweeper,paper_geometric,MFI-Geometric,completed,1.000,1.000,19.477,1309.0,26.18,0.099,0.836,0.000,0.000,0.667
dynamic_double_integrator_2d,2D double integrator,moving_convex_sweeper,paper_pd,MFI-PD,completed,1.000,1.000,18.911,2182.0,43.64,0.150,1.770,0.000,0.000,0.685
dynamic_double_integrator_2d,2D double integrator,moving_convex_sweeper,sabattini,Sabattini,completed,0.000,0.000,5.139,inf,inf,7.947,-0.005,1.000,1.000,1.000
dynamic_double_integrator_2d,2D double integrator,moving_u_shape,apf,APF,completed,1.000,1.000,25.637,1972.0,39.44,0.151,1.192,0.000,0.000,0.482
dynamic_double_integrator_2d,2D double integrator,moving_u_shape,haddadin,Haddadin,completed,1.000,1.000,14.454,1105.0,22.10,0.151,0.733,0.000,0.000,0.855
dynamic_double_integrator_2d,2D double integrator,moving_u_shape,paper_geometric,MFI-Geometric,completed,1.000,1.000,25.454,1411.0,28.22,0.115,0.515,0.000,0.000,0.489
dynamic_double_integrator_2d,2D double integrator,moving_u_shape,paper_pd,MFI-PD,completed,1.000,1.000,16.531,2306.0,46.12,0.151,1.422,0.000,0.000,0.747
