step,time,x,y,z,vx,vy,vz,roll,pitch,yaw,yaw_rate,desired_vx_body,desired_vy_body,desired_yaw_rate,desired_altitude,goal_distance,signed_clearance,motor_m1,motor_m2,motor_m3,motor_m4
0.0,2.048,8.625220723956744e-17,-1.7655552049253315e-17,0.01497849959402967,0.0,0.0,0.0,0.0,0.0,0.0,3.472249944073486e-17,0.0,0.0,0.0,0.6296,3.25849038494228,1.1127748515925002,150.27916388255744,150.27916388255744,150.27916388255744,150.27916388255744
1.0,2.08,8.60724056950316e-17,-1.813317350022324e-17,0.01497888062791127,-5.618798266744803e-18,-1.492567034281012e-17,1.1907308799987544e-05,0.0,0.0,0.0,5.762253708077686e-18,0.0,0.0,0.0,0.6296,3.2584903130711007,1.1127746977594575,54.34283047634137,54.34283047634137,54.34283047634137,54.34283047634137
2.0,2.112,8.598016321798482e-17,-1.8361372978479176e-17,0.014979191443550019,-2.882577407711904e-18,-7.131233695497999e-18,9.712988710910706e-06,0.0,0.0,0.0,-8.017489684520147e-17,0.0,0.0,0.0,0.6296,3.2584902544446233,1.11277457227536,54.441177669154484,54.441177669154484,54.441177669154484,54.441177669154484
3.0,2.144,8.584711642611026e-17,-1.761576175683831e-17,0.014979448445492993,-4.157712246080195e-18,2.3300350676276997e-17,8.03131071792483e-06,0.0,0.0,0.0,-4.436517539407996e-17,0.0,0.0,0.0,0.6296,3.2584902059685814,1.1127744685172458,54.539522795773706,54.539522795773706,54.539522795773706,54.539522795773706
4.0,2.176,8.540854850172393e-17,-1.6773402694562802e-17,0.014979664757057073,-1.3705247637072601e-17,2.6323720696109654e-17,6.759736377527804e-06,0.0,0.0,0.0,1.1210737765446544e-16,0.0,0.0,0.0,0.6296,3.2584901651676272,1.112774381186884,54.63786624416867,54.63786624416867,54.63786624416867,54.63786624416867
5.0,2.208,8.517957750101852e-17,-1.6631399211195014e-17,0.014979850876639403,-7.155343772044224e-18,4.4376088552433695e-18,5.81623694779348e-06,0.0,0.0,0.0,-1.4732040280523451e-16,0.0,0.0,0.0,0.6296,3.2584901300615328,1.1127743060457973,54.73620832432971,54.73620832432971,54.73620832432971,54.73620832432971
6.0,2.24,8.475244383167704e-17,-1.661535798038322e-17,0.014980015202752597,-1.3347927166921067e-17,5.012884628685255e-19,5.135191037317333e-06,0.0,0.0,0.0,1.1128783517437428e-16,0.0,0.0,0.0,0.6296,3.2584900990661567,1.1127742397032896,54.834549283865705,54.834549283865705,54.834549283865705,54.834549283865705
7.0,2.2720000000000002,8.440000350854352e-17,-1.6224490162675815e-17,0.014980164454042683,-1.1013760097922639e-17,1.2214619303356427e-17,4.664102815174916e-06,0.0,0.0,0.0,-1.069912580230527e-16,0.0,0.0,0.0,0.6296,3.2584900709142173,1.112774179446873,54.93288932048126,54.93288932048126,54.93288932048126,54.93288932048126
8.0,2.3040000000000003,8.393398513600454e-17,-1.5417494410775924e-17,0.014980304005295224,-1.4563074141843144e-17,2.521861724687155e-17,4.360976641924141e-06,0.0,0.0,0.0,-1.0703871777242305e-16,0.0,0.0,0.0,0.6296,3.2584900445919156,1.1127741231066113,55.03122859195875,55.03122859195875,55.03122859195875,55.03122859195875
9.0,2.336,8.210073609001293e-17,-1.4677062768600486e-17,0.014980438156233677,-5.728903268723857e-17,2.3138488817982747e-17,4.192216826665702e-06,0.0,0.0,0.0,1.954593048764925e-17,0.0,0.0,0.0,0.6296,3.2584900192882325,1.1127740689465988,55.129567224143464,55.129567224143464,55.129567224143464,55.129567224143464
