step,time,x,y,z,vx,vy,vz,roll,pitch,yaw,yaw_rate,desired_vx_body,desired_vy_body,desired_yaw_rate,desired_altitude,goal_distance,signed_clearance,motor_m1,motor_m2,motor_m3,motor_m4
0.0,2.048,3.0202160338497466e-18,-0.064,0.014980373728171664,0.0,0.0,0.0,0.0,0.0,0.0,3.624478650660354e-18,0.0,0.0,0.0,1.0,2.5982685896844253,0.512,211.9171160078948,211.9171160078948,211.9171160078948,211.9171160078948
1.0,2.08,3.2755743074373897e-18,-0.064,0.014980379898612638,7.979946049613837e-18,0.0,1.9282628044205841e-07,0.0,0.0,0.0,3.5342755727041594e-17,0.0,0.0,0.0,1.0,2.598268587345173,0.512,58.165401516302175,58.165401516302175,58.165401516302175,58.165401516302175
2.0,2.112,3.320299275812209e-18,-0.064,0.014980390830822045,1.3976552617131034e-18,0.0,3.4163154396344885e-07,0.0,0.0,0.0,-4.495180802153253e-18,0.0,0.0,0.0,1.0,2.598268583200705,0.512,58.32300380042085,58.32300380042085,58.32300380042085,58.32300380042085
3.0,2.144,3.327568398501344e-18,-0.064,0.014980407931879932,2.2716008403546917e-19,0.0,5.344080589836891e-07,0.0,0.0,0.0,-2.9304576955977994e-18,0.0,0.0,0.0,1.0,2.598268576717589,0.512,58.48060580025859,58.48060580025859,58.48060580025859,58.48060580025859
4.0,2.176,3.523146477312263e-18,-0.064,0.014980432327422537,6.111814962841215e-18,0.0,7.623607064101243e-07,0.0,0.0,0.0,-4.397406346073891e-18,0.0,0.0,0.0,1.0,2.598268567469089,0.512,58.63820754736754,58.63820754736754,58.63820754736754,58.63820754736754
5.0,2.208,4.003360913089792e-18,-0.064,0.01498046491793687,1.5006701118047777e-17,0.0,1.0184535728869132e-06,0.0,0.0,0.0,2.9213236389109643e-17,0.0,0.0,0.0,1.0,2.598268555113825,0.512,58.795809066611184,58.795809066611184,58.795809066611184,58.795809066611184
6.0,2.24,3.9257348533732754e-18,-0.064,0.014980506423794941,-2.4258143661411532e-18,0.0,1.2970580647400111e-06,0.0,0.0,0.0,-9.44132206722989e-18,0.0,0.0,0.0,1.0,2.5982685393787,0.512,58.953410377502365,58.953410377502365,58.953410377502365,58.953410377502365
7.0,2.2720000000000002,4.026186494723802e-18,-0.064,0.014980557421280287,3.139113792203963e-18,0.0,1.5936714170550189e-06,0.0,0.0,0.0,-5.2886260971376285e-17,0.0,0.0,0.0,1.0,2.598268520045242,0.512,59.111011495273324,59.111011495273324,59.111011495273324,59.111011495273324
8.0,2.3040000000000003,3.977611203150123e-18,-0.064,0.014980618371408478,-1.5179778616774749e-18,0.0,1.90469150597016e-06,0.0,0.0,0.0,-5.794106583705644e-17,0.0,0.0,0.0,1.0,2.5982684969386773,0.512,59.26861243173216,59.26861243173216,59.26861243173216,59.26861243173216
9.0,2.336,2.920968431021144e-18,-0.064,0.014980689642982969,-3.3020086629031026e-17,0.0,2.2272367028475005e-06,0.0,0.0,0.0,-1.3886836664953728e-17,0.0,0.0,0.0,1.0,2.598268469919191,0.512,59.426213195947575,59.426213195947575,59.426213195947575,59.426213195947575
10.0,2.368,3.163168393218454e-18,-0.064,0.014980771531039314,7.56874881866594e-18,0.0,2.559001760764777e-06,0.0,0.0,0.0,-6.306119584813621e-18,0.0,0.0,0.0,1.0,2.598268438874934,0.512,59.583813794796754,59.58381379479674,59.58381379479674,59.583813794796754
11.0,2.4,3.962627975229317e-18,-0.064,0.014980864271600194,2.4983111937839444e-17,0.0,2.8981425275039957e-06,0.0,0.0,0.0,-2.183368698387467e-17,0.0,0.0,0.0,1.0,2.5982684037164296,0.512,59.741414233403844,59.741414233403844,59.741414233403844,59.741414233403844
12.0,2.432,4.752972159102373e-18,-0.064,0.01498096805347914,2.4698255746032974e-17,0.0,3.2431837170801702e-06,0.0,0.0,0.0,-1.0238377218312432e-16,0.0,0.0,0.0,1.0,2.5982683643720987,0.512,59.89901451549055,59.89901451549055,59.89901451549055,59.89901451549055
13.0,2.464,5.374450080096356e-18,-0.064,0.014981083027723295,1.942118503106194e-17,0.0,3.592945129837849e-06,0.0,0.0,0.0,4.6887772828597153e-17,0.0,0.0,0.0,1.0,2.5982683207846793,0.512,60.056614643656616,60.056614643656616,60.056614643656616,60.056614643656616
14.0,2.496,4.9646995755328505e-18,-0.064,0.014981209315167417,-1.2804703267609523e-17,0.0,3.946482628810075e-06,0.0,0.0,0.0,1.7761067067618164e-17,0.0,0.0,0.0,1.0,2.5982682729083635,0.512,60.21421461960424,60.21421461960424,60.21421461960424,60.21421461960424
15.0,2.528,5.282842372858595e-18,-0.064,0.014981347012476954,9.941962416429498e-18,0.0,4.303040923039031e-06,0.0,0.0,0.0,1.931003288272092e-17,0.0,0.0,0.0,1.0,2.5982682207065064,0.512,60.371814444317685,60.371814444317685,60.371814444317685,60.371814444317685
16.0,2.56,4.844460926593695e-18,-0.064,0.014981496196982379,-1.3699420195778097e-17,0.0,4.662015794514459e-06,0.0,0.0,0.0,-9.520153794088062e-17,0.0,0.0,0.0,1.0,2.598268164149793,0.512,60.52941411820676,60.52941411820676,60.52941411820676,60.52941411820676
17.0,2.592,5.282596202704705e-18,-0.064,0.01498165693054655,1.3691727378469036e-17,0.0,5.022923880374903e-06,0.0,0.0,0.0,-3.1430504704430824e-17,0.0,0.0,0.0,1.0,2.5982681032147723,0.512,60.68701364122181,60.68701364122181,60.68701364122181,60.68701364122181
18.0,2.624,5.1571213788197826e-18,-0.064,0.014981829262658558,-3.921088246403813e-18,0.0,5.385378500240805e-06,0.0,0.0,0.0,8.55683019797344e-18,0.0,0.0,0.0,1.0,2.598268037882685,0.512,60.84461301294555,60.84461301294555,60.84461301294555,60.84461301294555
19.0,2.656,4.576040589894584e-18,-0.064,0.0149820132329087,-1.8158774653912442e-17,0.0,5.749070316920889e-06,0.0,0.0,0.0,-3.879773561592537e-17,0.0,0.0,0.0,1.0,2.598267968138524,0.512,61.00221223266671,61.00221223266671,61.00221223266671,61.00221223266671
20.0,2.688,4.507065738200579e-18,-0.064,0.014982208872968443,-2.1554641154376556e-18,0.0,6.1137518669613455e-06,0.0,0.0,0.0,4.30857912587006e-17,0.0,0.0,0.0,1.0,2.5982678939702843,0.512,61.15981129943869,61.15981129943869,61.15981129943869,61.15981129943869
21.0,2.72,4.6760381792915126e-18,-0.064,0.014982416208174337,5.2803887840916715e-18,0.0,6.479225184206986e-06,0.0,0.0,0.0,9.357543187819372e-17,0.0,0.0,0.0,1.0,2.598267815368363,0.512,61.31741021212673,61.31741021212673,61.31741021212673,61.31741021212673
22.0,2.7520000000000002,4.6532942760203996e-18,-0.064,0.01498263525879514,-7.107469772222805e-19,0.0,6.845331900059628e-06,0.0,0.0,0.0,7.708428614242376e-17,0.0,0.0,0.0,1.0,2.598267732325079,0.512,61.475008969445526,61.475008969445526,61.475008969445526,61.475008969445526
23.0,2.7840000000000003,4.894150144693757e-18,-0.064,0.014982866041045444,7.526745896042421e-18,0.0,7.211945322025969e-06,0.0,0.0,0.0,8.326419959231393e-18,0.0,0.0,0.0,1.0,2.598267644834287,0.512,61.632607569989354,61.632607569989354,61.632607569989354,61.632607569989354
24.0,2.816,4.932885926270524e-18,-0.064,0.01498310856789662,1.2104931742739692e-18,0.0,7.578964099266503e-06,0.0,0.0,0.0,4.8875480392705367e-17,0.0,0.0,0.0,1.0,2.598267552891073,0.512,61.79020601225609,61.79020601225609,61.79020601225609,61.79020601225609
25.0,2.848,5.889216793437464e-18,-0.064,0.014983362849725509,2.988533959896686e-17,0.0,7.94630715275721e-06,0.0,0.0,0.0,1.988954773742596e-17,0.0,0.0,0.0,1.0,2.598267456491505,0.512,61.9478042946666,61.9478042946666,61.9478042946666,61.9478042946666
26.0,2.88,5.212334787690721e-18,-0.064,0.014983628894833376,-2.1152562679585707e-17,0.0,8.313909620862377e-06,0.0,0.0,0.0,2.146087062889888e-17,0.0,0.0,0.0,1.0,2.59826735563244,0.512,62.10540241557997,62.10540241557998,62.10540241557998,62.10540241557997
27.0,2.912,4.606999305642815e-18,-0.064,0.014983906709861076,-1.8916733813997047e-17,0.0,8.681719615617487e-06,0.0,0.0,0.0,-6.571282902322323e-17,0.0,0.0,0.0,1.0,2.5982672503113626,0.512,62.26300037330617,62.26300037330617,62.26300037330617,62.26300037330617
28.0,2.944,4.544704479086628e-18,-0.064,0.014984196300121162,-1.9467133298808317e-18,0.0,9.049695627691848e-06,0.0,0.0,0.0,-2.0654968319445356e-17,0.0,0.0,0.0,1.0,2.598267140526262,0.512,62.420598166115475,62.420598166115475,62.420598166115475,62.420598166115475
29.0,2.976,5.557777163776419e-18,-0.064,0.01498449766986357,3.165852139655593e-17,0.0,9.41780445024974e-06,0.0,0.0,0.0,3.950530501737288e-17,0.0,0.0,0.0,1.0,2.598267026275531,0.512,62.578195792246774,62.578195792246774,62.578195792246774,62.578195792246774
30.0,3.008,4.9569323403933496e-18,-0.064,0.014984810822488167,-1.87764007307209e-17,0.0,9.786019518657424e-06,0.0,0.0,0.0,2.406061053682513e-17,0.0,0.0,0.0,1.0,2.5982669075578837,0.512,62.73579324991357,62.735793249913584,62.735793249913584,62.73579324991357
31.0,3.04,5.058409966792838e-18,-0.064,0.014985135760714785,3.1711758249840186e-18,0.0,1.0154319581793378e-05,0.0,0.0,0.0,-2.7384217718155203e-17,0.0,0.0,0.0,1.0,2.5982667843722935,0.512,62.89339053730928,62.893390537309266,62.893390537309266,62.89339053730928
32.0,3.072,5.071414828406841e-18,-0.064,0.014985472486719225,4.0640192543759374e-19,0.0,1.0522687638771223e-05,0.0,0.0,0.0,-2.4343708145607065e-18,0.0,0.0,0.0,1.0,2.598266656717938,0.512,63.050987652611084,63.050987652611084,63.050987652611084,63.050987652611084
