step,time,x,y,vx,vy,ax,ay,heading,linear_speed,angular_speed,goal_distance,obstacle_distance,signed_clearance
0.0,0.0,0.0,-0.020914020139426802,0.0,0.0,0.16862220066884132,0.019456407769481692,0.11487660541689915,0.0,0.0,0.45614357457289545,0.18174064021806677,0.17831510466593023
1.0,0.064,0.005126162124354393,-0.02018255376557746,0.034487742243609766,0.010324516208439702,-5.242324174263925,18.024396049232237,0.29087660541689914,0.036,4.0,0.45096737707250945,0.17649995658247972,0.17315729299268254
2.0,0.128,0.0072257585016430575,-0.019247764138224373,0.030749505099354667,0.018720788876133425,-13.7593997987258,22.856819900986842,0.5468766054168992,0.036,4.0,0.4487752104474631,0.17435345397314597,0.1710330106181569
3.0,0.192,0.00902022938729553,-0.017811793791916265,0.025007050051320964,0.025896861735174168,-23.654175985193525,22.99407861600742,0.8028766054168991,0.036,4.0,0.4468319008562598,0.17251889354044006,0.16925120679635144
4.0,0.256,0.010392613202085954,-0.015968237646898736,0.017634663813448446,0.031385006486962075,-32.367922040954596,18.276299296385012,1.0588766054168992,0.036,4.0,0.44526810973398956,0.17111584985484407,0.16792288150598225
5.0,0.32,0.011253459523850729,-0.013837256603990407,0.009112870167949977,0.03482751207453796,-37.57094464183769,9.871814664598684,1.3148766054168994,0.036,4.0,0.44419021104344253,0.1702357717141637,0.16713091854054765
6.0,0.384,0.011546659364659536,-0.011557745593207547,-2.8900303890053616e-06,0.035999999883996166,-37.8378082438087,-0.0051217871587659934,1.5708766054168997,0.036,4.0,0.44367217595925024,0.16993602161449686,0.1669222404938326
7.0,0.448,0.01150743871525758,-0.010694697748995029,-0.002305311564298729,0.03592611221091854,-37.08556972806978,-2.3926563431233654,1.6348766054168997,0.036,-4.0,0.4436285449149713,0.16997611847653746,0.16691849021320096
8.0,0.512,0.011490102590183479,-0.009974906488442766,-0.0,0.0,0.16381214458603108,0.015335701484995468,1.5708766054168997,0.0,4.0,0.44357813231815457,0.16999384190095837,0.1668820712261151
9.0,0.5760000000000001,0.01153720114797286,-0.0083924276355291,-0.002305311564298729,0.03592611221091854,-37.09371843792294,-2.3940349921656665,1.6348766054168997,0.036,-4.0,0.44338651977022947,0.1699456911333707,0.16685604793553932
10.0,0.64,0.011519865022898758,-0.007672636374976838,-0.0,0.0,0.16370953951925296,0.014473666622718592,1.5708766054168997,0.0,4.0,0.44333981639068626,0.16996341455779163,0.16682100200805156
11.0,0.704,0.01156696358068814,-0.0060901575220631745,-0.002305311564298729,0.03592611221091854,-37.10186859228793,-2.395412745827022,1.6348766054168997,0.036,-4.0,0.4431563252752836,0.16991526379020394,0.16679442945953776
12.0,0.768,0.011549627455614038,-0.0053703662615109116,-0.0,0.0,0.16360837503849865,0.013612705309436587,1.5708766054168997,0.0,4.0,0.4431133362817553,0.16993298721462485,0.1667607577749506
13.0,0.8320000000000001,0.011607096587910317,-0.003931513489739904,-0.0,0.0,0.16353113910511807,0.013075136684423868,1.6348766054168997,0.0,-4.0,0.44293906598124716,0.16987423418772668,0.1667115866977069
14.0,0.896,0.011572424337762113,-0.002491930968635379,-0.0,0.0,0.16348940671846537,0.012537767851349186,1.5708766054168997,0.0,4.0,0.44286122611974366,0.16990968103656848,0.16675437411058128
15.0,0.96,0.011629893470058392,-0.0010530781968643714,-0.0,0.0,0.1634133109320547,0.012001006538568778,1.6348766054168997,0.0,-4.0,0.4426962151309942,0.16985092800967036,0.16670533027530196
16.0,1.024,0.011595221219910188,0.0003865043242401536,-0.0,0.0,0.1633727322025355,0.011464431480811787,1.5708766054168997,0.0,4.0,0.44262769256869106,0.1698863748585122,0.16674823666973715
17.0,1.088,0.011652690352206467,0.0018253570960111614,-0.0,0.0,0.16329778725852911,0.01092845614474345,1.6348766054168997,0.0,-4.0,0.4424719577884474,0.169827621831614,0.16669932015832276
18.0,1.1520000000000001,0.011618018102058264,0.0032649396171156864,-0.0,0.0,0.16325837220816172,0.010392652902042401,1.5708766054168997,0.0,4.0,0.4424127650463432,0.16986306868045586,0.16674234547960712
19.0,1.216,0.011675487234354543,0.004703792388886694,-0.0,0.0,0.16318458840322425,0.00985744189740143,1.6348766054168997,0.0,-4.0,0.44226632223790435,0.1698043156535577,0.16669355637341082
