step,time,x,y,vx,vy,ax,ay,heading,linear_speed,angular_speed,goal_distance,obstacle_distance,signed_clearance
0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,4.5,2.9166666666666665,1.7800007802744855
1.0,0.064,0.01152,0.0,0.18,0.0,0.26907840000000005,0.0,0.0,0.18,0.0,4.48848,2.905146666666667,1.7692188921040204
2.0,0.128,0.023039999999999998,0.0,0.18,0.0,0.2681568,0.0,0.0,0.18,0.0,4.47696,2.8936266666666666,1.7584463652263544
3.0,0.192,0.034559999999999994,0.0,0.18,0.0,0.2672352,0.0,0.0,0.18,0.0,4.46544,2.882106666666667,1.7476833727474144
4.0,0.256,0.04607999999999999,0.0,0.18,0.0,0.26631360000000004,0.0,0.0,0.18,0.0,4.45392,2.8705866666666666,1.7369300919086461
5.0,0.32,0.057599999999999985,0.0,0.18,0.0,0.2653920000000001,0.0,0.0,0.18,0.0,4.4424,2.859066666666667,1.7261867042060595
6.0,0.384,0.06911999999999999,0.0,0.18,0.0,0.2644704,0.0,0.0,0.18,0.0,4.43088,2.8475466666666667,1.7154533955132028
7.0,0.448,0.08064,0.0,0.18,0.0,0.2635488,0.0,0.0,0.18,0.0,4.41936,2.836026666666667,1.704730356208212
8.0,0.512,0.09216000000000002,0.0,0.18,0.0,0.26262720000000006,0.0,0.0,0.18,0.0,4.40784,2.8245066666666663,1.6940177813050774
9.0,0.5760000000000001,0.10368000000000004,0.0,0.18,0.0,0.2617056,0.0,0.0,0.18,0.0,4.39632,2.8129866666666667,1.6833158705892894
10.0,0.64,0.11520000000000005,0.0,0.18,0.0,0.260784,0.0,0.0,0.18,0.0,4.3848,2.8014666666666663,1.6726248287580145
11.0,0.704,0.12672000000000005,0.0,0.18,0.0,0.25986240000000005,0.0,0.0,0.18,0.0,4.37328,2.7899466666666664,1.6619448655649731
12.0,0.768,0.13824000000000003,0.0,0.18,0.0,0.2589408000000001,0.0,0.0,0.18,0.0,4.36176,2.7784266666666664,1.6512761959701887
13.0,0.8320000000000001,0.14976,0.0,0.18,0.0,0.2580192,0.0,0.0,0.18,0.0,4.35024,2.766906666666667,1.6406190402947838
14.0,0.896,0.16127999999999998,0.0,0.18,0.0,0.25709760000000004,0.0,0.0,0.18,0.0,4.33872,2.7553866666666664,1.6299736243810135
15.0,0.96,0.17279999999999995,0.0,0.18,0.0,0.25617600000000007,0.0,0.0,0.18,0.0,4.3272,2.7438666666666665,1.6193401797577238
16.0,1.024,0.18431999999999993,0.0,0.18,0.0,0.2552544,0.0,0.0,0.18,0.0,4.31568,2.7323466666666665,1.6087189438114344
17.0,1.088,0.1958399999999999,0.0,0.18,0.0,0.2543328,0.0,0.0,0.18,0.0,4.30416,2.720826666666667,1.5981101599632541
18.0,1.1520000000000001,0.20735999999999988,0.0,0.18,0.0,0.25341120000000006,0.0,0.0,0.18,0.0,4.2926400000000005,2.7093066666666665,1.58751407785184
19.0,1.216,0.21887999999999985,0.0,0.18,0.0,0.2524896000000001,0.0,0.0,0.18,0.0,4.2811200000000005,2.6977866666666666,1.5769309535226257
20.0,1.28,0.23039999999999983,0.0,0.18,0.0,0.251568,0.0,0.0,0.18,0.0,4.2696000000000005,2.6862666666666666,1.5663610496235463
21.0,1.344,0.23399999999999982,0.0,0.0,0.0,-1.0407516612464462,0.0,0.176,0.0,4.0,4.266,1.4326666666666668,1.5630607082828798
22.0,1.408,0.23399999999999982,0.0,0.0,0.0,-1.0407516612464462,0.0,0.43200000000000005,0.0,4.0,4.266,1.4326666666666668,1.5630607082828798
23.0,1.472,0.23399999999999982,0.0,0.0,0.0,-1.0407516612464462,0.0,0.6879999999999998,0.0,4.0,4.266,1.4326666666666668,1.5630607082828798
