step,time,x,y,vx,vy,ax,ay,heading,linear_speed,angular_speed,goal_distance,obstacle_distance,signed_clearance
0.0,0.0,0.0,0.0,0.0,0.0,-0.4507400055562173,-2.9123264972341705,0.0,0.0,0.0,4.5,0.9518343469433034,0.9438769443566204
1.0,0.064,0.000845242298018106,-0.00017838897046135733,0.034826780393653486,-0.009115666043259443,-0.6042774523588685,-2.875513684978562,-0.256,0.036,-4.0,4.4991547612384934,0.9509702214295425,0.9430138762496524
2.0,0.128,0.0029761575336664813,-0.0010393981768071644,0.031383590699320375,-0.017637183301693376,-1.3130796776598868,-2.584217757685176,-0.512,0.036,-4.0,4.497023962584505,0.9487917002799227,0.9407705573211357
3.0,0.192,0.004819608771560818,-0.002411922904612258,0.02589485412020967,-0.025009128935112077,-1.9249992774729012,-2.123010904527041,-0.7679999999999997,0.036,-4.0,4.495181038296096,0.9469070652447691,0.9387277349537289
4.0,0.256,0.006255441948609927,-0.0042065035471623964,0.01871832028791492,-0.03075100787940182,-2.400153769171631,-1.5219536970889918,-1.0239999999999996,0.036,-4.0,4.493746526862477,0.9454391547004177,0.9370202667914229
5.0,0.32,0.007190071085105096,-0.0063061713714014835,0.010321747546750405,-0.034488570970412094,-2.7075754778791894,-0.8202218571782227,-1.2799999999999998,0.036,-4.0,4.492814354628246,0.9444836453930353,0.935761537526063
6.0,0.384,0.007785192172452939,-0.010433399140387507,0.0,-0.0,-0.4521860796746869,-2.911497875760153,-1.4759389419574442,0.0,-4.0,4.492226923863342,0.9438752289465792,0.9345258877797346
7.0,0.448,0.008057367446852046,-0.01746812521187003,-0.0,-0.0,-0.4522103191113061,-2.911058252295228,-1.5999721455433313,0.0,-4.0,4.491976597172665,0.9435969731146425,0.933193027450858
8.0,0.512,0.007509775796644655,-0.02461017586833608,-0.0,-0.0,-0.45207656880823616,-2.9106316751474757,-1.70725073597593,0.0,-4.0,4.492557631830557,0.9441567982880585,0.9327080906377554
9.0,0.5760000000000001,0.006249820851556263,-0.03168549867796069,-0.0,-0.0,-0.4518064342534703,-2.910226151482082,-1.7680312194461796,0.0,4.0,4.493861885218897,0.9454449013761235,0.9329928665875309
10.0,0.64,0.004597057181124795,-0.03865799516403411,-0.0,-0.0,-0.4514617964273879,-2.9098360944183184,-1.8205899141177253,0.0,4.0,4.49556915850426,0.9471345887701237,0.9337354621407117
11.0,0.704,0.003139536858038491,-0.045685469037629725,-0.0,-0.0,-0.4511546508500027,-2.9094376967046913,-1.749234247786766,0.0,-4.0,4.497092525960581,0.9486246709642556,0.934332072498709
